포지션,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
1루수/포수,강백호,한화,0.32,36,166,147,24,47,9,0,7,77,38,0,1
외야수,페라자,한화,0.333,36,170,138,34,46,10,0,6,74,23,1,3
내야수,문현빈,한화,0.311,34,161,132,25,41,8,2,7,74,27,0,0
외야수,오재원,한화,0.175,31,69,63,12,11,1,0,0,12,4,1,0
3루수,노시환,한화,0.242,29,136,120,23,29,3,0,6,50,19,1,2
유격수,이도윤,한화,0.296,29,80,71,9,21,3,1,0,26,9,2,0
포수,허인서,한화,0.3,29,83,70,19,21,2,0,7,44,21,1,2
내야수/외야수,김태연,한화,0.286,28,69,56,11,16,1,0,1,20,4,5,0
유격수,심우준,한화,0.267,28,100,86,20,23,4,0,2,33,14,0,0
1루수/외야수,채은성,한화,0.245,28,115,102,10,25,3,0,2,34,12,0,2
3루수,이원석,한화,0.306,27,79,72,10,22,2,2,0,28,7,1,0
유격수,하주석,한화,0.256,27,85,78,5,20,2,0,0,22,6,1,0
포수,최재훈,한화,0.182,24,68,55,6,10,0,0,0,10,5,2,1
내야수,황영묵,한화,0.295,21,53,44,9,13,2,1,0,17,12,1,0
외야수,이진영,한화,0.22,16,44,41,5,9,1,0,2,16,7,0,0
외야수,최인호,한화,0.25,9,8,8,1,2,0,0,0,2,1,0,0
,,,,,,,,,,,,,,,
포지션,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
외야수,김현수,KT,0.298,36,166,151,19,45,10,0,3,64,24,0,0
포수,장성우,KT,0.227,36,149,119,22,27,7,0,7,55,29,0,1
외야수,힐리어드,KT,0.259,36,162,139,28,36,6,2,9,73,28,0,4
외야수,최원준,KT,0.299,35,171,144,25,43,10,1,1,58,18,2,2
내야수,김상수,KT,0.31,34,138,113,12,35,3,0,0,38,10,3,1
외야수,이강민,KT,0.212,34,123,113,9,24,1,0,0,25,11,2,1
내야수,권동진,KT,0.407,25,32,27,10,11,2,1,0,15,5,0,0
외야수,배정대,KT,0.25,25,48,44,6,11,3,0,0,14,4,1,0
포수,한승택,KT,0.177,25,73,62,8,11,1,0,1,15,7,2,0
내야수,오윤석,KT,0.314,24,78,70,10,22,4,0,0,26,11,1,1
포수/지명,이정훈,KT,0.333,23,30,24,2,8,0,0,0,8,5,0,0
내야수,장준원,KT,0.2,19,43,35,1,7,1,0,1,11,4,3,0
외야수,김민혁,KT,0.314,17,77,70,8,22,2,0,1,27,7,2,0
내야수,유준규,KT,0.333,16,23,18,8,6,1,1,0,9,7,2,0
내야수,류현인,KT,0.282,15,41,39,7,11,2,0,0,13,4,0,0
포수/외야수,안현민,KT,0.365,14,67,52,14,19,4,1,3,34,11,0,0
내야수,강민성,KT,0.25,9,4,4,0,1,0,0,0,1,1,0,0
포수,강현우,KT,0.1,9,11,10,0,1,0,0,0,1,0,0,0
3루수,허경민,KT,0.522,7,26,23,7,12,2,0,1,17,4,1,0
,,,,,,,,,,,,,,,
외야수,박해민,LG,0.259,36,139,116,12,30,6,0,0,36,14,4,5
1루수,오스틴,LG,0.377,36,170,151,31,57,10,3,9,100,32,0,1
내야수,구본혁,LG,0.329,35,90,76,10,25,1,0,0,26,7,5,0
2루수,신민재,LG,0.185,35,127,108,9,20,0,0,0,20,5,3,0
